,param_kernel,mean_train_log_marginal_likelihood,mean_train_mean_squared_error,mean_test_log_marginal_likelihood,mean_test_mean_squared_error,param_alpha,params,std_train_mean_squared_error,std_test_log_marginal_likelihood,std_test_mean_squared_error,rank_test_mean_squared_error,rank_test_log_marginal_likelihood,split0_test_mean_squared_error,split1_test_mean_squared_error,split2_test_mean_squared_error,split3_test_mean_squared_error,split4_test_mean_squared_error,split5_test_mean_squared_error,split6_test_mean_squared_error,split7_test_mean_squared_error,split0_train_mean_squared_error,split1_train_mean_squared_error,split2_train_mean_squared_error,split3_train_mean_squared_error,split4_train_mean_squared_error,split5_train_mean_squared_error,split6_train_mean_squared_error,split7_train_mean_squared_error,split0_test_log_marginal_likelihood,split1_test_log_marginal_likelihood,split2_test_log_marginal_likelihood,split3_test_log_marginal_likelihood,split4_test_log_marginal_likelihood,split5_test_log_marginal_likelihood,split6_test_log_marginal_likelihood,split7_test_log_marginal_likelihood,split0_train_log_marginal_likelihood,split1_train_log_marginal_likelihood,split2_train_log_marginal_likelihood,split3_train_log_marginal_likelihood,split4_train_log_marginal_likelihood,split5_train_log_marginal_likelihood,split6_train_log_marginal_likelihood,split7_train_log_marginal_likelihood
130,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05),38.97903538368807,-9.846457966140207e-06,38.97903538368807,-0.00014277339866926276,1e-06,"{'alpha': 1e-06, 'kernel': 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05)}",3.9526860727703245e-06,2.100760309934447,0.0001859190917855326,9,10,-0.0005272264308071094,-0.0003765396646641239,-9.907360510984242e-05,-9.584495551162602e-05,-2.7650058846696126e-05,-5.1215911952662425e-06,-4.584111959887554e-06,-6.14677125955051e-06,-1.0565319229845112e-05,-1.051644965119723e-05,-3.6190716188150413e-06,-3.7812245864645513e-06,-8.861769413561145e-06,-1.4067648911006417e-05,-1.4051058051967105e-05,-1.3309122266265042e-05,42.608993758908625,41.003544817865894,40.13418747513722,39.98838038890486,37.566638106648504,36.83886945013812,36.82470298807697,36.866966083824366,42.608993758908625,41.003544817865894,40.13418747513722,39.98838038890486,37.566638106648504,36.83886945013812,36.82470298807697,36.866966083824366
193,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05) + 1**2,38.95514669479189,-8.979968220138958e-06,38.95514669479189,-0.00013977879778745062,1e-05,"{'alpha': 1e-05, 'kernel': 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05) + 1**2}",3.3880266383093668e-06,1.9894070605812684,0.00018193511572185713,2,12,-0.0005199822669553293,-0.0003624175174550216,-9.963207137361929e-05,-9.316646934344898e-05,-2.5967204836513268e-05,-5.265401225463901e-06,-4.9510722146259736e-06,-6.8483788955826195e-06,-1.0591172019358331e-05,-1.0537737980256412e-05,-3.686937801180295e-06,-3.648844029318832e-06,-7.835182428648622e-06,-1.272545859073698e-05,-1.26815517824379e-05,-1.0132861129174299e-05,42.59941744128136,41.00506723560737,39.73968874450829,39.57789693884137,37.810422852444965,36.89512841173677,36.885633402206174,37.12791853170882,42.59941744128136,41.00506723560737,39.73968874450829,39.57789693884137,37.810422852444965,36.89512841173677,36.885633402206174,37.12791853170882
57,"1**2 * RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1e-05)",38.857740328001,-6.7792740772511405e-06,38.857740328001,-0.00022798253935751346,1e-07,"{'alpha': 1e-07, 'kernel': 1**2 * RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1e-05)}",3.1980182688681646e-06,2.0033545968942454,0.0005120494888339814,21,13,-0.0015792081505764705,-1.3780617136156106e-05,-9.767627532925591e-05,-9.549803499315875e-05,-2.33857922323407e-05,-5.8382522145949595e-06,-4.0908756012627665e-06,-4.382316776868016e-06,-9.119394257743476e-06,-8.61152586995029e-06,-1.3344370575675019e-06,-1.2698732176353163e-06,-7.4568575427697285e-06,-8.549875703116895e-06,-8.924142706668295e-06,-8.968086262557616e-06,42.07598666402835,40.0780028559067,40.52417241107965,40.4169362192898,37.46234712825875,36.78857710140822,36.70136904110017,36.81453120293637,42.07598666402835,40.0780028559067,40.52417241107965,40.4169362192898,37.46234712825875,36.78857710140822,36.70136904110017,36.81453120293637
123,"1**2 * RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1e-05)",38.82575394703011,-6.799603721426769e-06,38.82575394703011,-0.00022796433572919254,1e-06,"{'alpha': 1e-06, 'kernel': 1**2 * RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1e-05)}",3.1632086872594613e-06,1.978216805220423,0.000512054641430872,20,14,-0.001579209259522115,-1.3779757238625186e-05,-9.771454495311236e-05,-9.53138670417656e-05,-2.3385796774814056e-05,-5.838256007454134e-06,-4.090884103537031e-06,-4.382320192117015e-06,-9.119395010725716e-06,-8.611511596933409e-06,-1.4169673422424656e-06,-1.3499782148344182e-06,-7.456856657166647e-06,-8.549883578399868e-06,-8.924149574797399e-06,-8.968087796314221e-06,42.075986664074044,40.07800285634346,40.39692608472086,40.288291497486085,37.46234712826069,36.78857710139507,36.70136904102712,36.81453120293352,42.075986664074044,40.07800285634346,40.39692608472086,40.288291497486085,37.46234712826069,36.78857710139507,36.70136904102712,36.81453120293352
192,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05),38.80098225873114,-1.0154354658919845e-05,38.80098225873114,-0.00014288646748594945,1e-05,"{'alpha': 1e-05, 'kernel': 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05)}",3.5078951671534767e-06,2.0258264264650614,0.00018634726659733333,11,15,-0.0005302445692749873,-0.0003742993931677726,-9.930425820206453e-05,-9.572781464060686e-05,-2.766322561235889e-05,-5.121587532835524e-06,-4.58410677785176e-06,-6.146784679117998e-06,-1.0586433499183615e-05,-1.0532199505870458e-05,-4.567840942066133e-06,-5.147553688579919e-06,-8.974032652667283e-06,-1.4066751634233592e-05,-1.405111825054161e-05,-1.3308907098216147e-05,42.59371418621892,40.98850540270262,39.40830576223727,39.3212204230069,37.565573771949545,36.838869451717244,36.824702988014316,36.866966084002335,42.59371418621892,40.98850540270262,39.40830576223727,39.3212204230069,37.565573771949545,36.838869451717244,36.824702988014316,36.866966084002335
196,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05),38.80098225873114,-1.0154354658919845e-05,38.80098225873114,-0.00014288646748594945,1e-05,"{'alpha': 1e-05, 'kernel': 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05)}",3.5078951671534767e-06,2.0258264264650614,0.00018634726659733333,11,15,-0.0005302445692749873,-0.0003742993931677726,-9.930425820206453e-05,-9.572781464060686e-05,-2.766322561235889e-05,-5.121587532835524e-06,-4.58410677785176e-06,-6.146784679117998e-06,-1.0586433499183615e-05,-1.0532199505870458e-05,-4.567840942066133e-06,-5.147553688579919e-06,-8.974032652667283e-06,-1.4066751634233592e-05,-1.405111825054161e-05,-1.3308907098216147e-05,42.59371418621892,40.98850540270262,39.40830576223727,39.3212204230069,37.565573771949545,36.838869451717244,36.824702988014316,36.866966084002335,42.59371418621892,40.98850540270262,39.40830576223727,39.3212204230069,37.565573771949545,36.838869451717244,36.824702988014316,36.866966084002335
189,"1**2 * RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1e-05)",38.555160796492515,-7.0079934117825504e-06,38.555160796492515,-0.0002288397090478475,1e-05,"{'alpha': 1e-05, 'kernel': 1**2 * RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1e-05)}",2.9162186762774297e-06,1.8130835623312773,0.000514727528993629,22,17,-0.0015872353509569382,-1.4329263222567762e-05,-9.808500553481026e-05,-9.350805769626706e-05,-2.32485452622952e-05,-5.838252834509128e-06,-4.09088378605924e-06,-4.382313089332916e-06,-9.286439564586451e-06,-8.777806607016538e-06,-2.0683984346977824e-06,-1.9900939123929315e-06,-7.499104466177598e-06,-8.549876031481698e-06,-8.924143531005853e-06,-8.96808474690155e-06,42.04153259697902,40.04040812849809,39.360541692534035,39.245804099027275,37.44852250950572,36.788577101408734,36.70136904106237,36.814531202924904,42.04153259697902,40.04040812849809,39.360541692534035,39.245804099027275,37.44852250950572,36.788577101408734,36.70136904106237,36.814531202924904
55,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05) + 1**2,38.400714462372534,-7.3343211424759165e-06,38.400714462372534,-0.00037855422651080156,1e-07,"{'alpha': 1e-07, 'kernel': 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05) + 1**2}",3.1441598697400352e-06,2.1551425765300127,0.0007853277496287738,33,18,-0.0024356977472707016,-0.0003582227541644101,-9.687404280207294e-05,-9.658556648094012e-05,-2.4270713139587367e-05,-5.847669152284885e-06,-5.048651754747347e-06,-5.886667321668058e-06,-9.798684612559917e-06,-9.1798756770916e-06,-1.9874453514871275e-06,-2.01238625802839e-06,-7.5414556535406456e-06,-9.227768739619983e-06,-9.468317297122524e-06,-9.458635550357142e-06,42.05547370093981,40.06361643346434,39.82802129752165,39.81495665651872,36.87410684908903,36.18951364083056,36.1513772835812,36.22864983703499,42.05547370093981,40.06361643346434,39.82802129752165,39.81495665651872,36.87410684908903,36.18951364083056,36.1513772835812,36.22864983703499
121,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05) + 1**2,38.37313735627376,-7.356322917378403e-06,38.37313735627376,-0.00037853763435213205,1e-06,"{'alpha': 1e-06, 'kernel': 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05) + 1**2}",3.1068362571988293e-06,2.137418641080416,0.0007853355106503476,31,19,-0.0024357028467749254,-0.0003582205328909549,-9.68131091758921e-05,-9.651086965285804e-05,-2.4270728364625086e-05,-5.8476742435283374e-06,-5.048645656018431e-06,-5.886668058253567e-06,-9.798674762763181e-06,-9.179872356816417e-06,-2.075820724578403e-06,-2.100039553406301e-06,-7.541454841759889e-06,-9.227770756443454e-06,-9.468314496859998e-06,-9.458635846399584e-06,42.05547370108832,40.06361643341556,39.717441148523584,39.70491995632539,36.8741068491388,36.18951364108927,36.151377283573815,36.228649837035334,42.05547370108832,40.06361643341556,39.717441148523584,39.70491995632539,36.8741068491388,36.18951364108927,36.151377283573815,36.228649837035334
187,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05) + 1**2,38.12094947884121,-7.54127871259034e-06,38.12094947884121,-0.00037854223643999784,1e-05,"{'alpha': 1e-05, 'kernel': 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05) + 1**2}",2.876200700540713e-06,2.015293221792922,0.0007859333501742362,32,20,-0.0024373142156690892,-0.00035815549232654523,-9.626422268791994e-05,-9.574365358059116e-05,-2.407734279994443e-05,-5.8476413933527946e-06,-5.048655343065336e-06,-5.886667719474883e-06,-9.904938887601405e-06,-9.323405310027094e-06,-2.677402902487773e-06,-2.6910353525214924e-06,-7.578772996552598e-06,-9.227719617415715e-06,-9.468318870221341e-06,-9.458635763895295e-06,42.03047455817804,40.03100047750652,38.74632433212044,38.73446348139221,36.85579222314346,36.189513637777345,36.15137728357661,36.22864983703507,42.03047455817804,40.03100047750652,38.74632433212044,38.73446348139221,36.85579222314346,36.189513637777345,36.15137728357661,36.22864983703507
