,param_kernel,mean_train_log_marginal_likelihood,mean_train_mean_squared_error,mean_test_log_marginal_likelihood,mean_test_mean_squared_error,param_alpha,params,std_train_mean_squared_error,std_test_log_marginal_likelihood,std_test_mean_squared_error,rank_test_mean_squared_error,rank_test_log_marginal_likelihood,split0_test_mean_squared_error,split1_test_mean_squared_error,split2_test_mean_squared_error,split3_test_mean_squared_error,split4_test_mean_squared_error,split5_test_mean_squared_error,split6_test_mean_squared_error,split7_test_mean_squared_error,split0_train_mean_squared_error,split1_train_mean_squared_error,split2_train_mean_squared_error,split3_train_mean_squared_error,split4_train_mean_squared_error,split5_train_mean_squared_error,split6_train_mean_squared_error,split7_train_mean_squared_error,split0_test_log_marginal_likelihood,split1_test_log_marginal_likelihood,split2_test_log_marginal_likelihood,split3_test_log_marginal_likelihood,split4_test_log_marginal_likelihood,split5_test_log_marginal_likelihood,split6_test_log_marginal_likelihood,split7_test_log_marginal_likelihood,split0_train_log_marginal_likelihood,split1_train_log_marginal_likelihood,split2_train_log_marginal_likelihood,split3_train_log_marginal_likelihood,split4_train_log_marginal_likelihood,split5_train_log_marginal_likelihood,split6_train_log_marginal_likelihood,split7_train_log_marginal_likelihood
50,"1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1e-05)",30.521548968815765,-2.8524514437548486e-06,30.521548968815765,-0.0012278666537815528,1e-07,"{'alpha': 1e-07, 'kernel': 1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1e-05)}",1.7031905446006466e-06,2.293202159486326,0.002211921351541555,183,64,-0.006417253309527103,-0.0031623049999997153,-0.0001061348246083561,-8.696193370639636e-05,-4.314142054864612e-05,-3.4615662358248822e-06,-1.1932435953111433e-06,-2.481932031068e-06,-5.0273731353387835e-06,-3.8058759942323477e-06,-6.602847678642903e-08,-6.181609534446433e-08,-3.0521920733608133e-06,-3.171767825723495e-06,-3.895122771908134e-06,-3.739435177344321e-06,35.64693546605008,32.789104237842494,29.437582259065564,28.984057234639014,30.190482891312996,29.531164588423064,28.598894612479448,28.994170460713462,35.64693546605008,32.789104237842494,29.437582259065564,28.984057234639014,30.190482891312996,29.531164588423064,28.598894612479448,28.994170460713462
116,"1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1e-05)",30.51858047646664,-2.8553645221698602e-06,30.51858047646664,-0.001227861939194521,1e-06,"{'alpha': 1e-06, 'kernel': 1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1e-05)}",1.6984346179567773e-06,2.2948955094304195,0.0022119241964262755,182,65,-0.006417253309527103,-0.0031623049999997153,-0.00010650808657476548,-8.655095057658801e-05,-4.3141420580715e-05,-3.4615705394239578e-06,-1.193243871146621e-06,-2.481931886709839e-06,-5.027379800286167e-06,-3.8058705061597324e-06,-7.80288407176549e-08,-7.306686397099882e-08,-3.0521916662342904e-06,-3.171823810519944e-06,-3.895108923416048e-06,-3.739445766054048e-06,35.646935466040844,32.78910423784496,29.425364407272212,28.972527147488027,30.19048289131406,29.53116458858392,28.598894612469856,28.99417046071923,35.646935466040844,32.78910423784496,29.425364407272212,28.972527147488027,30.19048289131406,29.53116458858392,28.598894612469856,28.99417046071923
182,"1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1e-05)",30.4903221794542,-2.8968927396468793e-06,30.4903221794542,-0.0012278264190998796,1e-05,"{'alpha': 1e-05, 'kernel': 1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1e-05)}",1.630638941487199e-06,2.311529916157149,0.002211947557157421,181,66,-0.006417253309527103,-0.0031623049999997153,-0.00011022419833941319,-8.255067786244391e-05,-4.314142058083037e-05,-3.4615709612249042e-06,-1.1932435947382585e-06,-2.481931933567126e-06,-5.027371799093734e-06,-3.805863352798832e-06,-2.493772166176357e-07,-2.3394345651448117e-07,-3.052191664769761e-06,-3.1718292976483196e-06,-3.895122800670373e-06,-3.7394423290618993e-06,35.646935466051104,32.78910423784234,29.30920298735032,28.86262219129341,30.190482891314062,29.531164588585977,28.598894612478027,28.99417046071836,35.646935466051104,32.78910423784234,29.30920298735032,28.86262219129341,30.190482891314062,29.531164588585977,28.598894612478027,28.99417046071836
248,"1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1e-05)",29.663082476790485,-9.831831117067032e-06,29.663082476790485,-0.0012284773993492956,0.0001,"{'alpha': 0.0001, 'kernel': 1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1e-05)}",2.458014366907483e-06,2.0954930882678027,0.002211737467783937,192,67,-0.006417253309527127,-0.003162304999999731,-0.0001476403093856414,-5.018221870453609e-05,-4.318090001371608e-05,-3.8064590944042972e-06,-1.0639667037228108e-06,-2.387031365486109e-06,-1.4011254481655897e-05,-1.1321481865330337e-05,-6.300018708301282e-06,-5.943253383551161e-06,-9.92338468301737e-06,-1.0106137236423705e-05,-1.0595028387034898e-05,-1.0454090191221613e-05,34.370327148918086,31.726230964455965,28.490376787637764,28.07747625065301,29.32813048530119,28.75359344942492,28.112932715610476,28.445592012322493,34.370327148918086,31.726230964455965,28.490376787637764,28.07747625065301,29.32813048530119,28.75359344942492,28.112932715610476,28.445592012322493
33,"1**2 * RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1e-05)",29.41703833062905,-1.1917307122166788e-07,29.41703833062905,-0.0008001173275054281,1e-07,"{'alpha': 1e-07, 'kernel': 1**2 * RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1e-05)}",4.635342089091895e-08,2.8845981882938396,0.0008910940141786006,52,68,-0.002579117739748596,-0.0004139393783156104,-0.0018387604423033177,-0.0010998750079946275,-5.838036729353011e-05,-0.00014001773179954914,-0.00012450202537487816,-0.0001463459272133164,-2.236645845612035e-07,-1.2841519516513312e-07,-6.579921669015389e-08,-6.160499759816349e-08,-1.1460483493680526e-07,-1.192170317722482e-07,-1.2001993451819237e-07,-1.2005877453144332e-07,34.743107636051874,30.593562948085772,25.419863182661395,24.958789214450057,29.835572190239542,29.94697077689706,29.885587409588812,29.95285328705789,34.743107636051874,30.593562948085772,25.419863182661395,24.958789214450057,29.835572190239542,29.94697077689706,29.885587409588812,29.95285328705789
99,"1**2 * RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1e-05)",29.41353333553492,-1.4111022324796433e-07,29.41353333553492,-0.0008006741578562184,1e-06,"{'alpha': 1e-06, 'kernel': 1**2 * RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1e-05)}",5.4724211111690603e-08,2.8821062776762654,0.0008915762490946134,53,69,-0.0025816442479604023,-0.0004147728642713961,-0.001838761100536929,-0.0010998757198881722,-5.853737877229696e-05,-0.00014031102690255964,-0.00012482497634842634,-0.0001466659481695642,-2.6440121534814714e-07,-1.5207740744964703e-07,-7.804890336183837e-08,-7.307321599450757e-08,-1.3573230052084786e-07,-1.4119677563954105e-07,-1.4215681621225924e-07,-1.421951514569262e-07,34.734645997087995,30.589369609520123,25.419863181388834,24.958789213099397,29.831573408642697,29.943084712042403,29.881915759301926,29.949024803195993,34.734645997087995,30.589369609520123,25.419863181388834,24.958789213099397,29.831573408642697,29.943084712042403,29.881915759301926,29.949024803195993
165,"1**2 * RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1e-05)",29.378926861126427,-4.585782313278448e-07,29.378926861126427,-0.0008061982226810505,1e-05,"{'alpha': 1e-05, 'kernel': 1**2 * RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1e-05)}",1.7279858852065858e-07,2.857601190613533,0.000896346129534482,55,70,-0.002606596543226967,-0.00042308284231491034,-0.001838767566521603,-0.0010998813914960474,-6.0104530680447915e-05,-0.00014323954091818625,-0.00012805357494160698,-0.0001498597913486348,-8.45777167370119e-07,-4.949130251539057e-07,-2.5803058668987196e-07,-2.415735366418075e-07,-4.4196512467151224e-07,-4.598846792921344e-07,-4.6329798594564005e-07,-4.631837448577676e-07,34.651574696277144,30.547910201642257,25.419863168961346,24.95878920309374,29.7919982906855,29.90461623162198,29.845547140299896,29.911115956429544,34.651574696277144,30.547910201642257,25.419863168961346,24.95878920309374,29.7919982906855,29.90461623162198,29.845547140299896,29.911115956429544
231,"1**2 * RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1e-05)",29.069739646197306,-1.2110047642812492e-05,29.069739646197306,-0.0008579925903309726,0.0001,"{'alpha': 0.0001, 'kernel': 1**2 * RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1e-05)}",3.601460852177856e-06,2.6456405042178126,0.0009399130818874269,57,71,-0.002831489618525869,-0.000504231345331036,-0.0018388336854261536,-0.0010999436630120666,-7.567636239418153e-05,-0.0001721545113947556,-0.00016027747165237903,-0.00018133406491133887,-1.9912204535304246e-05,-1.310995794910215e-05,-7.804793225256192e-06,-7.307270781342735e-06,-1.1749672483857705e-05,-1.2252098483635178e-05,-1.2397885446386747e-05,-1.2346498237614985e-05,33.9429964276133,30.173868381177698,25.419863040881193,24.9587890899033,29.431801293180527,29.553798963137506,29.51216355426603,29.5646364194189,33.9429964276133,30.173868381177698,25.419863040881193,24.9587890899033,29.431801293180527,29.553798963137506,29.51216355426603,29.5646364194189
325,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05) + 1**2,28.937449690334443,-0.00018401094622302666,28.937449690334443,-0.0005183637089567453,0.001,"{'alpha': 0.001, 'kernel': 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05) + 1**2}",5.978784091307655e-05,0.5784878027503935,0.0011492670007927795,47,72,-0.0035529729194886755,-0.0001245225391208761,-0.00024731449753555334,-2.795364433535615e-06,-1.9269960286753672e-06,-6.54231235654125e-05,-7.666422240811465e-05,-7.529000907311921e-05,-0.0003382510400330187,-0.00019252726067965775,-0.000148300604856436,-0.00014591290967750105,-0.00015708700003034225,-0.00016295994343429928,-0.0001636340713836871,-0.00016341473968927122,30.446647163690546,28.86830696877304,28.886678964735275,28.7169885209731,28.606774584400572,28.65314870342247,28.660964663648716,28.660087953031837,30.446647163690546,28.86830696877304,28.886678964735275,28.7169885209731,28.606774584400572,28.65314870342247,28.660964663648716,28.660087953031837
327,"1**2 * RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1e-05)",28.91858742336418,-0.0001805965207422205,28.91858742336418,-0.0005426427124973196,0.001,"{'alpha': 0.001, 'kernel': 1**2 * RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1e-05)}",7.439957190942592e-05,0.5811643519343113,0.0012490423443820798,48,73,-0.0038411430560072687,-0.0001143257122206133,-0.0002517452067072768,-2.938604479209612e-06,-4.1976746067375976e-07,-3.941089413273756e-05,-4.587511919381292e-05,-4.528333977696419e-05,-0.0003748097538890918,-0.00018398345684901866,-0.00014578189368098088,-0.00014250588697586354,-0.00014821310746169168,-0.00014985498485058796,-0.0001498710088377208,-0.0001497520733928087,30.431203679781508,28.857140313137013,28.883088581396382,28.711644183213014,28.590783125249274,28.621686035263174,28.62679548127315,28.626357987599917,30.431203679781508,28.857140313137013,28.883088581396382,28.711644183213014,28.590783125249274,28.621686035263174,28.62679548127315,28.626357987599917
324,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05),28.91168009706651,-0.00016576059859541877,28.91168009706651,-0.00045881423914519083,0.001,"{'alpha': 0.001, 'kernel': 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05)}",3.6242109020494824e-05,0.5631899393647986,0.00102775822329761,42,74,-0.003170523308905971,-0.00011432285510057927,-0.00025174442298561494,-2.9385250064563807e-06,-4.1977319243554026e-07,-3.941028242333792e-05,-4.587355669412063e-05,-4.528118885301065e-05,-0.0002561276680428854,-0.00018398155919172613,-0.00014578045725618542,-0.00014250520115410622,-0.00014821373925208184,-0.00014985477487591283,-0.00014987045962440296,-0.00014975092936604927,30.3759282778498,28.857143765231815,28.88309361807919,28.71164538142388,28.590784092010257,28.621687110493106,28.626797627887434,28.626360903556613,30.3759282778498,28.857143765231815,28.88309361807919,28.71164538142388,28.590784092010257,28.621687110493106,28.626797627887434,28.626360903556613
328,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05),28.91168009706651,-0.00016576059859541877,28.91168009706651,-0.00045881423914519083,0.001,"{'alpha': 0.001, 'kernel': 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05)}",3.6242109020494824e-05,0.5631899393647986,0.00102775822329761,42,74,-0.003170523308905971,-0.00011432285510057927,-0.00025174442298561494,-2.9385250064563807e-06,-4.1977319243554026e-07,-3.941028242333792e-05,-4.587355669412063e-05,-4.528118885301065e-05,-0.0002561276680428854,-0.00018398155919172613,-0.00014578045725618542,-0.00014250520115410622,-0.00014821373925208184,-0.00014985477487591283,-0.00014987045962440296,-0.00014975092936604927,30.3759282778498,28.857143765231815,28.88309361807919,28.71164538142388,28.590784092010257,28.621687110493106,28.626797627887434,28.626360903556613,30.3759282778498,28.857143765231815,28.88309361807919,28.71164538142388,28.590784092010257,28.621687110493106,28.626797627887434,28.626360903556613
43,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05) + 1**2,28.861760774031186,-1.2580078622308923e-07,28.861760774031186,-0.000932577095035517,1e-07,"{'alpha': 1e-07, 'kernel': 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05) + 1**2}",4.018062253600052e-08,1.8027787049115027,0.0012286497593449119,62,76,-0.004017293664887695,-0.0014044587442031777,-0.0001473831762527269,-3.2348127453926925e-05,-0.0003025663348223272,-0.0005463283941067198,-0.0005072833175224342,-0.0005029550010351273,-2.2947624611383758e-07,-1.2189459831085063e-07,-9.850909694656597e-08,-9.499541842038072e-08,-1.1113632761654969e-07,-1.1679029425751666e-07,-1.1686160630334977e-07,-1.1674270181566291e-07,33.29665631842848,29.374575704131114,27.388934282754644,27.08828075093632,28.2881037979229,28.515655164297357,28.473004640745653,28.468875533033014,33.29665631842848,29.374575704131114,27.388934282754644,27.08828075093632,28.2881037979229,28.515655164297357,28.473004640745653,28.468875533033014
109,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05) + 1**2,28.859740140938946,-1.4894697019225248e-07,28.859740140938946,-0.0009325461943744107,1e-06,"{'alpha': 1e-06, 'kernel': 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05) + 1**2}",4.734795199479065e-08,1.8017668874874804,0.0012285464522933376,61,77,-0.004016972989672369,-0.0014044534347319884,-0.0001475704860003533,-3.2192733076351256e-05,-0.0003025429886448057,-0.0005462973192055384,-0.0005073345043120654,-0.0005030050993518143,-2.711295394158037e-07,-1.4433166397242992e-07,-1.1684650816483195e-07,-1.1267601596485041e-07,-1.316237664693435e-07,-1.3830794718202382e-07,-1.384005198767211e-07,-1.382598004920155e-07,33.29272281297259,29.371938097657825,27.38888337905826,27.088227269075695,28.28573611096109,28.513220584962667,28.470660887708053,28.466531985115367,33.29272281297259,29.371938097657825,27.38888337905826,27.088227269075695,28.28573611096109,28.513220584962667,28.470660887708053,28.466531985115367
175,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05) + 1**2,28.839795837961404,-4.839744522661166e-07,28.839795837961404,-0.0009322545143095983,1e-05,"{'alpha': 1e-05, 'kernel': 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05) + 1**2}",1.470866256542955e-07,1.7917058399401884,0.0012275396931494195,60,78,-0.0040138662054082985,-0.001404376718060088,-0.00014945329350425375,-3.066235197781144e-05,-0.0003023191309586107,-0.0005459985233994813,-0.0005078495674343882,-0.0005035103237338538,-8.640064472862149e-07,-4.6915619883922936e-07,-3.861929225275184e-07,-3.724135119143637e-07,-4.2878858248790565e-07,-4.5019970100477416e-07,-4.507461826588784e-07,-4.5029207141004853e-07,33.25362052148874,29.345951387482994,27.38837454750198,27.087692645147378,28.26241844634383,28.489250869201364,28.447592700840733,28.44346558568421,33.25362052148874,29.345951387482994,27.38837454750198,27.087692645147378,28.26241844634383,28.489250869201364,28.447592700840733,28.44346558568421
326,"1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1e-05)",28.692829549505717,-0.00017258379153746537,28.692829549505717,-0.0004914016885199469,0.001,"{'alpha': 0.001, 'kernel': 1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1e-05)}",3.5397231357747135e-05,0.6061364424536345,0.001092811728507582,46,79,-0.0033718034967763987,-0.0001549562436644251,-0.0002990012864514778,-6.50618742566637e-06,-1.4190120040807568e-06,-2.906047033295548e-05,-3.4313353965945484e-05,-3.4153457538625906e-05,-0.00025916865463290983,-0.00019525428015702793,-0.000154221669085924,-0.00015024328442567864,-0.000154327966703881,-0.0001559057534751247,-0.00015584712561879046,-0.0001557015982003864,30.259512800376122,28.65451364842871,28.692379255504854,28.49995347482179,28.34069116254645,28.362457199078705,28.366597566188673,28.366531289100454,30.259512800376122,28.65451364842871,28.692379255504854,28.49995347482179,28.34069116254645,28.362457199078705,28.366597566188673,28.366531289100454
241,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05) + 1**2,28.66512408588244,-1.3153185453661773e-05,28.66512408588244,-0.0009301195584932122,0.0001,"{'alpha': 0.0001, 'kernel': 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05) + 1**2}",3.0164672824099203e-06,1.7013121131706845,0.001217533680386719,59,80,-0.003984610435254205,-0.0014012975541414763,-0.00016898576526620435,-1.7429353355439234e-05,-0.00030100145968025357,-0.0005441740244952931,-0.000513949428275759,-0.0005095084474770679,-2.1053873480198954e-05,-1.264897230305999e-05,-1.1659412201574753e-05,-1.1242467621837447e-05,-1.1723239089379252e-05,-1.2258644615198917e-05,-1.2325487669557007e-05,-1.2313386648487867e-05,32.90043359367402,29.119568463188816,27.383306556725525,27.08236558206212,28.06008392089252,28.28191756291794,28.248725600287628,28.24459140731092,32.90043359367402,29.119568463188816,27.383306556725525,27.08236558206212,28.06008392089252,28.28191756291794,28.248725600287628,28.24459140731092
321,"1**2 * RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1e-05)",28.423951327773956,-0.00026201461564520927,28.423951327773956,-0.0006665023687928338,0.001,"{'alpha': 0.001, 'kernel': 1**2 * RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1e-05)}",5.480824483200972e-05,0.7773048595040798,0.0012866336601059063,49,81,-0.004038693875583072,-0.0006081886166421511,-0.00023231453992922832,-3.3699128334659783e-07,-2.271406836213097e-05,-0.0001312348595424841,-0.00014976883412380805,-0.00014876716487644882,-0.0003998206803036983,-0.00026060255225006,-0.00022119752307070976,-0.0002090139876847307,-0.0002422963774259281,-0.0002537159700355283,-0.000255107855479769,-0.00025436197891125006,30.427034959431055,28.5576660535257,28.236199899551483,28.08329375539502,27.959067055568287,28.03401970164706,28.04673164469518,28.04759755237785,30.427034959431055,28.5576660535257,28.236199899551483,28.08329375539502,27.959067055568287,28.03401970164706,28.04673164469518,28.04759755237785
319,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05) + 1**2,28.24440437487894,-0.0003081234588061929,28.24440437487894,-0.0007336609788743769,0.001,"{'alpha': 0.001, 'kernel': 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05) + 1**2}",4.4295692844989526e-05,0.8565927659084135,0.0012953242543805293,50,82,-0.004082398318517274,-0.0009508939169838371,-0.0002000967531252183,-5.528255696484721e-07,-4.4190166398308336e-05,-0.0001822726839600265,-0.00020580808140532273,-0.00020307508503537885,-0.00040468529110655326,-0.000272007451137307,-0.00027326412820115646,-0.00025004556721717054,-0.0003035712191493601,-0.0003194336270359396,-0.00032140902724321597,-0.00032057135935884045,30.427388496960983,28.513806264004867,27.965268980626128,27.833463832301575,27.723387316354472,27.820271896428036,27.836445947532326,27.83520226482315,30.427388496960983,28.513806264004867,27.965268980626128,27.833463832301575,27.723387316354472,27.820271896428036,27.836445947532326,27.83520226482315
315,"1**2 * RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1e-05)",28.192009777244913,-0.0003336778508051839,28.192009777244913,-0.0007533875858635813,0.001,"{'alpha': 0.001, 'kernel': 1**2 * RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1e-05)}",4.364191113475979e-05,0.8674045462047303,0.001301639480991476,51,83,-0.004126794445325297,-0.0009246450283102888,-0.0002465561474044322,-1.9607491372274592e-06,-7.124419393190878e-05,-0.00020769323957235995,-0.00022145567396915567,-0.0002267512092579802,-0.0004389337422318,-0.0003313627240159296,-0.0003046686124983201,-0.0002849972967108139,-0.00030420076024958987,-0.00033113642215063053,-0.0003417080713521139,-0.0003324151772322733,30.424777069937676,28.38241962930287,27.893007658356318,27.726705797213153,27.725435121708305,27.791329562847572,27.78769316911181,27.804710209481605,30.424777069937676,28.38241962930287,27.893007658356318,27.726705797213153,27.725435121708305,27.791329562847572,27.78769316911181,27.804710209481605
313,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05) + 1**2,28.072987122711314,-0.00038315872901905035,28.072987122711314,-0.0008061014373808089,0.001,"{'alpha': 0.001, 'kernel': 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05) + 1**2}",3.374499672119399e-05,0.9209652186163577,0.0012944951031841,54,84,-0.004118374089236383,-0.0011617462429061216,-0.0002255233298994593,-4.405167429808306e-07,-0.00011381965100151618,-0.0002566397962419034,-0.0002810250852391704,-0.0002912427877789362,-0.00042448287410787414,-0.0003470112068771524,-0.000366823993358952,-0.0003339471951699398,-0.0003573790554456022,-0.00041179440993715616,-0.00042349933715523703,-0.00040033176010048903,30.42303901646473,28.36365960085759,27.703224039630843,27.549904767665932,27.587073719050483,27.63680931192272,27.64403721467461,27.67614931142362,30.42303901646473,28.36365960085759,27.703224039630843,27.549904767665932,27.587073719050483,27.63680931192272,27.64403721467461,27.67614931142362
169,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05) + 1**2,28.042033653059864,-4.588798401881725e-07,28.042033653059864,-0.0009487403982467787,1e-05,"{'alpha': 1e-05, 'kernel': 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05) + 1**2}",1.278648360611423e-07,1.4726476272116071,0.0010810158085643865,83,85,-0.003690553708057964,-0.0012259453069581915,-0.0004045206869185662,-7.792977595447654e-05,-0.00034302493446413356,-0.0005928413129858455,-0.0006303170884365131,-0.0006247903721985387,-7.931641232191055e-07,-4.389726229388779e-07,-3.888106607344879e-07,-3.761247089769801e-07,-4.0195233973427013e-07,-4.221262041458565e-07,-4.251689741887995e-07,-4.247190875670026e-07,31.851581781957663,28.182106398063482,27.339315552657453,27.034125477047404,27.282024469049933,27.525980964006802,27.56333114025363,27.55780344144253,31.851581781957663,28.182106398063482,27.339315552657453,27.034125477047404,27.282024469049933,27.525980964006802,27.56333114025363,27.55780344144253
37,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05) + 1**2,28.042033653058027,-1.2078974950426974e-07,28.042033653058027,-0.0009487407875906421,1e-07,"{'alpha': 1e-07, 'kernel': 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05) + 1**2}",3.6476534298672565e-08,1.4726476272038047,0.0010810163743021433,97,86,-0.0036905554496554013,-0.0012259462475007457,-0.0004045210823473363,-7.792957370352722e-05,-0.0003430250222034198,-0.0005928413800549838,-0.0006303171283066748,-0.0006247904169530477,-2.1647962002598108e-07,-1.1483616327243072e-07,-1.0231933450393058e-07,-9.875261043668247e-08,-1.0468013184627698e-07,-1.0925992838002945e-07,-1.1005379283368397e-07,-1.0993641473514275e-07,31.851581781934065,28.182106398067713,27.339315552659723,27.034125477047013,27.282024469050143,27.525980964007395,27.563331140254665,27.557803441443475,31.851581781934065,28.182106398067713,27.339315552659723,27.034125477047013,27.282024469050143,27.525980964007395,27.563331140254665,27.557803441443475
235,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05) + 1**2,28.042033653056798,-4.644388799977909e-05,28.042033653056798,-0.0009487405532685975,0.0001,"{'alpha': 0.0001, 'kernel': 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05) + 1**2}",9.020696474158905e-05,1.4726476272061277,0.0010810158729446509,90,87,-0.003690554015764261,-0.0012259456733785265,-0.0004045210823517894,-7.79296868953079e-05,-0.0003430255343348375,-0.0005928412187909841,-0.0006303169627353067,-0.0006247902518977667,-0.0002851043703071237,-1.3151076117510356e-05,-1.1727672759213782e-05,-1.131145915448196e-05,-1.2109477849838224e-05,-1.2662217840294938e-05,-1.2748812830855433e-05,-1.2736017138914346e-05,31.85158178193946,28.182106398062906,27.339315552659738,27.034125477048182,27.282024469039015,27.525980964007235,27.563331140254515,27.55780344144332,31.85158178193946,28.182106398062906,27.339315552659738,27.034125477048182,27.282024469039015,27.525980964007235,27.563331140254515,27.55780344144332
133,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05) + 1**2,28.042033653053046,-4.588798401886536e-07,28.042033653053046,-0.000948740398247157,1e-05,"{'alpha': 1e-05, 'kernel': 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05) + 1**2}",1.2786483606193103e-07,1.4726476272053932,0.001081015808560336,84,88,-0.0036905537080491723,-0.0012259453069532699,-0.00040452068692417397,-7.792977595894017e-05,-0.00034302493446559923,-0.0005928413129875811,-0.0006303170884382549,-0.0006247903722002647,-7.931641232216468e-07,-4.3897262293935165e-07,-3.888106607344879e-07,-3.761247089769801e-07,-4.019523397344607e-07,-4.22126204146068e-07,-4.251689741890069e-07,-4.2471908756722687e-07,31.8515817819358,28.182106398051655,27.339315552657453,27.034125477047404,27.282024469044394,27.525980964001693,27.563331140248554,27.55780344143744,31.8515817819358,28.182106398051655,27.339315552657453,27.034125477047404,27.282024469044394,27.525980964001693,27.563331140248554,27.55780344143744
139,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05) + 1**2,28.042033653053046,-4.588798401886536e-07,28.042033653053046,-0.000948740398247157,1e-05,"{'alpha': 1e-05, 'kernel': 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-05) + 1**2}",1.2786483606193103e-07,1.4726476272053932,0.001081015808560336,84,88,-0.0036905537080491723,-0.0012259453069532699,-0.00040452068692417397,-7.792977595894017e-05,-0.00034302493446559923,-0.0005928413129875811,-0.0006303170884382549,-0.0006247903722002647,-7.931641232216468e-07,-4.3897262293935165e-07,-3.888106607344879e-07,-3.761247089769801e-07,-4.019523397344607e-07,-4.22126204146068e-07,-4.251689741890069e-07,-4.2471908756722687e-07,31.8515817819358,28.182106398051655,27.339315552657453,27.034125477047404,27.282024469044394,27.525980964001693,27.563331140248554,27.55780344143744,31.8515817819358,28.182106398051655,27.339315552657453,27.034125477047404,27.282024469044394,27.525980964001693,27.563331140248554,27.55780344143744
